lat,lng,site_name,dev_stat,label,status,lith,b_age,t_age,unit_name,map_source
34.25843,-84.35962,F. Burt's,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.25843,-84.35962,Burty No. 2,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.10983,-84.65822,Granville,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.10983,-84.65822,Eiseman,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.05843,-84.38602,Nunnaly,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.12248,-84.65782,Stansill,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.12812,-84.6696,W.M. Going,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.10983,-84.65822,Robertson,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.11683,-84.68053,Avery Mine,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.09593,-84.59572,Williams,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.09593,-84.59572,Old Bell Cut,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.09593,-84.59572,Kitchens Property,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.38483,-84.33181,Richards,Prospect,1,OK,sedimentary rocks,1000.0,541.0,Neoproterozoic sedimentary rocks,154
34.11477,-84.63201,Tripp,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.11823,-84.58052,Cox,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.13107,-84.58927,W. Poor's,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.11823,-84.58052,Evans,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.18553,-84.56169,Sixes Mine,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.18763,-84.55492,Labelle Mine,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.18763,-84.55492,Culp Mine,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.18763,-84.55492,Farrar Mine,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.18625,-84.55299,Coggins,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.18763,-84.55492,Haynes No. 2,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.01404,-84.86383,N.Dockery,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.00648,-84.87213,Hodges,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.00542,-84.86349,Hobbs,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.01404,-84.86383,T.Willery,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.00024,-84.87661,Michigan Au Mining Company,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.18763,-84.55492,Casteel Mine,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.03047,-84.85204,Russell,Prospect,1,OK,sedimentary,443.8,358.9,Silurian-Devonian sedimentary,7
34.04454,-84.83463,Merrit Prospect,Prospect,1,OK,sedimentary,443.8,358.9,Silurian-Devonian sedimentary,7
34.47872,-84.04071,Barlow,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.47872,-84.04071,Belle,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.47872,-84.04071,Josephine (Auraria),Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.47872,-84.04071,Whim Hill,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.47872,-84.04071,Gordon,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
33.21075,-84.81383,Post,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
33.21075,-84.81383,Wilkes,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
33.71404,-84.93183,S. Klondyke Mine,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
33.66544,-82.43736,Paschal,Prospect,1,OK,mudstone-carbonate-sandstone-conglomerate,541.0,485.4,Paleozoic sedimentary and volcanic rocks,154
33.66544,-82.43736,Julia Or Phelps Mine,Prospect,1,OK,mudstone-carbonate-sandstone-conglomerate,541.0,485.4,Paleozoic sedimentary and volcanic rocks,154
33.61684,-82.54986,Tatham,Prospect,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
33.61684,-82.54986,Porter,Prospect,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
33.61684,-82.54986,Landers,Prospect,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
33.61684,-82.54986,Woodall,Prospect,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
33.56684,-82.64987,Wilson & Watson,Prospect,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
33.56684,-82.64987,Sellers,Prospect,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
33.56684,-82.64987,Taylor,Prospect,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
34.20013,-84.09991,Lyons,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.20013,-84.09991,Zamoda Au Prospect,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.31123,-83.8166,Dean,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.31123,-83.8166,Stowe,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.31123,-83.8166,Mammoth Mine,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.31123,-83.8166,Brenau College,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.31123,-83.8166,Currahee Mine,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.41953,-83.9166,Odom,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.41953,-83.9166,Potosi,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.41953,-83.9166,Big Joe Mine,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
