lat,lng,site_name,dev_stat,label,status,lith,unit_name,map_source,n_mrds_records,age_span,b_age,t_age,age_mid,lith_metamorphic,lith_plutonic,lith_volcanic,lith_sedimentary,lith_unconsolidated,lith_schist,lith_gneiss,lith_quartz,lith_mafic,lith_felsic
34.43903,-83.8818,Parks Mine Et Al.,Past Producer,1,OK,paragneiss; paragneiss/metavolcanic gneiss,Mesoproterozoic crystalline metamorphic rocks,154,1,600.0,1600.0,1000.0,1300.0,1,0,1,0,0,0,1,0,0,0
34.38073,-83.9374,Cool Spring Church,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.20843,-83.9749,Banks Property,Past Producer,1,OK,paragneiss; paragneiss/metavolcanic gneiss,Mesoproterozoic crystalline metamorphic rocks,154,1,600.0,1600.0,1000.0,1300.0,1,0,1,0,0,0,1,0,0,0
34.34873,-83.9055,Johnson Property,Past Producer,1,OK,paragneiss; paragneiss/metavolcanic gneiss,Mesoproterozoic crystalline metamorphic rocks,154,1,600.0,1600.0,1000.0,1300.0,1,0,1,0,0,0,1,0,0,0
34.15703,-83.05678,Brown Property,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
34.23203,-83.04568,Ginn Placer,Past Producer,1,OK,intrusive igneous rocks,Paleozoic intrusive rocks,154,1,84.90000000000003,443.8,358.9,401.35,0,1,0,0,0,0,0,0,0,0
33.99454,-84.33182,No Name,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.41953,-83.9166,Smith Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,4,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.37513,-83.8749,Elrod/Stephens/Keath/Newton/Ivy Mt./Prater Mines,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,6,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.41823,-83.7457,Glade Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,2,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.21683,-83.06658,Ginn Placer,Past Producer,1,OK,intrusive igneous rocks,Paleozoic intrusive rocks,154,1,84.90000000000003,443.8,358.9,401.35,0,1,0,0,0,0,0,0,0,0
34.11953,-83.08878,Smith Placer,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,4,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
34.13623,-83.07488,Ridgeway Placer,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,4,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
34.37793,-83.736,A.G. Jennings,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
